uuid,work_id,item_type,series,year,month,format,title,clean_title,part_index,part_total,proposed_filename,proposed_filename_display
28,w-karma-and-the-afterlife,lecture,The Way to God,2002,10,DVD,Karma and the Afterlife,Karma and the Afterlife,1,3,2002-10_Karma_and_the_Afterlife_[1-3].mp4,2002-10_Karma_and_the_Afterlife_[1/3].mp4
29,w-karma-and-the-afterlife,lecture,The Way to God,2002,10,DVD,Karma and the Afterlife,Karma and the Afterlife,2,3,2002-10_Karma_and_the_Afterlife_[2-3].mp4,2002-10_Karma_and_the_Afterlife_[2/3].mp4
30,w-karma-and-the-afterlife,lecture,The Way to God,2002,10,DVD,Karma and the Afterlife,Karma and the Afterlife,3,3,2002-10_Karma_and_the_Afterlife_[3-3].mp4,2002-10_Karma_and_the_Afterlife_[3/3].mp4
31,w-god-transcendent-and-immanent,lecture,The Way to God,2002,11,DVD,God: Transcendent and Immanent,God: Transcendent and Immanent,1,3,2002-11_God_Transcendent_and_Immanent_[1-3].mp4,2002-11_God_Transcendent_and_Immanent_[1/3].mp4
32,w-god-transcendent-and-immanent,lecture,The Way to God,2002,11,DVD,God: Transcendent and Immanent,God: Transcendent and Immanent,2,3,2002-11_God_Transcendent_and_Immanent_[2-3].mp4,2002-11_God_Transcendent_and_Immanent_[2/3].mp4
33,w-god-transcendent-and-immanent,lecture,The Way to God,2002,11,DVD,God: Transcendent and Immanent,God: Transcendent and Immanent,3,3,2002-11_God_Transcendent_and_Immanent_[3-3].mp4,2002-11_God_Transcendent_and_Immanent_[3/3].mp4
34,w-realization-of-the-self-the-final-moment,lecture,The Way to God,2002,12,DVD,Realization of the Self: The Final Moments,Realization of the Self: The Final Moments,1,3,2002-12_Realization_of_the_Self_The_Final_Moments_[1-3].mp4,2002-12_Realization_of_the_Self_The_Final_Moments_[1/3].mp4
35,w-realization-of-the-self-the-final-moment,lecture,The Way to God,2002,12,DVD,Realization of the Self: The Final Moments,Realization of the Self: The Final Moments,2,3,2002-12_Realization_of_the_Self_The_Final_Moments_[2-3].mp4,2002-12_Realization_of_the_Self_The_Final_Moments_[2/3].mp4
36,w-realization-of-the-self-the-final-moment,lecture,The Way to God,2002,12,DVD,Realization of the Self: The Final Moments,Realization of the Self: The Final Moments,3,3,2002-12_Realization_of_the_Self_The_Final_Moments_[3-3].mp4,2002-12_Realization_of_the_Self_The_Final_Moments_[3/3].mp4
37,w-integration-of-spirituality-and-personal,lecture,Devotional Nonduality,2003,02,DVD,Integration of Spirituality and Personal Life,Integration of Spirituality and Personal Life,1,3,2003-02_Integration_of_Spirituality_and_Personal_Life_[1-3].mp4,2003-02_Integration_of_Spirituality_and_Personal_Life_[1/3].mp4
